Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dominican Republic,21.083,21.319,21.561,21.814,22.076,22.346,22.626,22.913,23.194,23.462,23.723,23.988,24.26,24.542,24.834,25.138,25.448,25.762,26.076,26.388,26.697,26.998
East Timor,17.486,17.476,17.492,17.534,17.605,17.638,17.622,17.618,17.642,17.71,17.817,17.953,18.11,18.287,18.482,18.707,18.98,19.272,19.549,19.813,20.073,20.341
Ecuador,21.135,21.354,21.588,21.838,22.099,22.368,22.644,22.927,23.218,23.506,23.794,24.079,24.364,24.673,25.005,25.356,25.721,26.093,26.468,26.856,27.223,27.578
Egypt,20.098,20.316,20.534,20.755,20.98,21.212,21.437,21.65,21.848,22.035,22.206,22.382,22.548,22.686,22.797,22.878,22.959,23.048,23.166,23.328,23.488,23.636
El Salvador,20.224,20.535,20.841,21.14,21.424,21.684,21.909,22.076,22.218,22.38,22.564,22.771,23.004,23.261,23.537,23.834,24.159,24.516,24.896,25.293,25.691,26.088
Equatorial Guinea,17.9,17.993,18.148,18.363,18.624,18.88,19.125,19.384,19.648,19.911,20.164,20.372,20.533,20.674,20.794,20.895,20.98,21.051,21.111,21.16,21.135,21.063
Eritrea,16.272,16.337,16.519,16.827,17.128,17.165,17.097,17.027,17.163,17.284,17.328,17.363,17.348,17.36,17.347,17.349,17.4,17.469,17.614,17.78,17.959,18.178
Estonia,37.051,37.34,37.607,37.855,38.095,38.317,38.522,38.686,38.84,39.035,39.263,39.539,39.845,40.146,40.415,40.566,40.691,40.88,41.046,41.213,41.383,41.484
Eswatini,16.418,16.702,16.968,17.204,17.395,17.539,17.646,17.798,18.044,18.332,18.628,18.92,19.196,19.46,19.712,19.953,20.182,20.435,20.721,21.012,21.284,21.535
Ethiopia,15.07,15.006,14.986,15.007,15.054,15.112,15.189,15.295,15.428,15.591,15.788,16.009,16.248,16.5,16.757,17.009,17.254,17.493,17.717,17.926,18.129,18.329
Europe (UN),36.633,36.946,37.235,37.502,37.776,38.034,38.303,38.565,38.794,39.023,39.258,39.504,39.765,40.016,40.244,40.444,40.63,40.836,41.055,41.28,41.496,41.695
