,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Bhutan,151711.0,161738.0,172150.0,182933.0,194090.0,204946.0,212724.0,220348.0,228116.0,236025.0,244119.0,252432.0,260882.0,269432.0,277992.0,286456.0,294869.0,302994.0,310703.0,318259.0,325836.0,333502.0,445152.0,449056.0,452259.0,454730.0,456454.0,456919.0,458075.0,458293.0,458235.0,457963.0,457513.0,456945.0,456397.0,455841.0,455147.0,454162.0,452997.0,451341.0,449056.0,446565.0,444170.0,441940.0
Bolivia,5317591.0,5453480.0,5587910.0,5724387.0,5864143.0,6006796.0,6153677.0,6303816.0,6455760.0,6609139.0,6764132.0,6920743.0,7078715.0,7232019.0,7382343.0,7533287.0,7684922.0,7836841.0,7989684.0,8143476.0,8285943.0,8412854.0,3288735.0,3299256.0,3312445.0,3326313.0,3340144.0,3353958.0,3368012.0,3382144.0,3395098.0,3407136.0,3418213.0,3428186.0,3437092.0,3450589.0,3466545.0,3481418.0,3495098.0,3507746.0,3518684.0,3527910.0,3530356.0,3524506.0
Bosnia and Herzegovina,1763077.0,1784536.0,1801427.0,1810554.0,1807458.0,1801023.0,1799298.0,1790027.0,1773237.0,1755180.0,1736430.0,1716662.0,1695556.0,1679735.0,1669766.0,1659801.0,1650302.0,1641516.0,1634058.0,1626799.0,1617341.0,1603795.0,2396694.0,2394902.0,2386575.0,2367969.0,2333529.0,2295470.0,2263974.0,2223397.0,2174307.0,2124614.0,2075042.0,2025136.0,1974557.0,1931124.0,1895063.0,1858740.0,1822701.0,1787166.0,1752942.0,1718734.0,1682008.0,1641112.0
Botswana,892686.0,925679.0,952117.0,977170.0,1002749.0,1029301.0,1057227.0,1107121.0,1159140.0,1213056.0,1268905.0,1324263.0,1365709.0,1403688.0,1441542.0,1479608.0,1518150.0,1557255.0,1596661.0,1636469.0,1676875.0,1718471.0,784696.0,786575.0,792646.0,798566.0,804397.0,810576.0,817289.0,804080.0,790830.0,777617.0,764206.0,749272.0,742908.0,736994.0,730502.0,723665.0,716626.0,709492.0,702480.0,695614.0,689019.0,682970.0
Brazil,141288924.0,143778920.0,146158653.0,148477268.0,150745355.0,152984542.0,155188992.0,157343140.0,159430712.0,161431674.0,163358522.0,165271423.0,167193100.0,169121374.0,171056777.0,172977104.0,174852930.0,176677496.0,178424995.0,180121128.0,181687255.0,182973030.0,32729358.0,32522283.0,32344831.0,32145420.0,31929788.0,31703559.0,31464114.0,31209180.0,30936590.0,30648277.0,30343407.0,30013311.0,29683011.0,29356925.0,29028350.0,28698428.0,28365184.0,28025949.0,27682266.0,27334331.0,26973587.0,26577264.0
British Virgin Islands,8455.0,8744.0,9071.0,9432.0,9818.0,10226.0,10659.0,11118.0,11607.0,12106.0,12402.0,12964.0,13808.0,14538.0,15234.0,16070.0,15908.0,15479.0,16539.0,17512.0,18016.0,18496.0,11786.0,12052.0,12359.0,12702.0,13063.0,13439.0,13834.0,14248.0,14681.0,15112.0,15273.0,15746.0,16537.0,17165.0,17728.0,18428.0,17970.0,17220.0,18118.0,18883.0,19119.0,19313.0
Brunei Darussalam,232296.0,238848.0,245028.0,251038.0,256898.0,262594.0,268133.0,274045.0,280519.0,287205.0,294096.0,300780.0,306828.0,312501.0,318114.0,323680.0,329182.0,334585.0,339868.0,345034.0,350094.0,354845.0,94128.0,94497.0,95071.0,95599.0,96013.0,96322.0,96530.0,96828.0,97274.0,97747.0,98236.0,98609.0,98729.0,98701.0,98636.0,98532.0,98382.0,98187.0,97942.0,97646.0,97310.0,96876.0
Bulgaria,5629167.0,5539603.0,5448708.0,5433321.0,5419782.0,5406009.0,5391557.0,5378166.0,5366322.0,5357245.0,5347166.0,5337678.0,5331472.0,5249214.0,5209757.0,5167628.0,5124345.0,5080082.0,5033635.0,4985505.0,4957960.0,4947176.0,2541005.0,2469539.0,2388453.0,2342006.0,2297078.0,2252963.0,2209465.0,2167172.0,2126239.0,2087198.0,2048433.0,2010650.0,1974416.0,1910791.0,1863815.0,1816597.0,1769794.0,1723386.0,1677163.0,1631221.0,1592736.0,1560125.0
Burkina Faso,2127994.0,2279493.0,2442087.0,2615983.0,2802306.0,3000561.0,3210942.0,3407158.0,3590840.0,3782827.0,3984757.0,4198134.0,4424783.0,4662032.0,4909923.0,5169442.0,5439668.0,5718249.0,6000273.0,6284393.0,6573983.0,6871314.0,9797552.0,10015508.0,10238810.0,10466549.0,10698227.0,10931562.0,11162765.0,11409149.0,11667253.0,11927239.0,12191741.0,12463774.0,12747504.0,13033377.0,13319538.0,13608045.0,13895188.0,14176158.0,14438015.0,14677559.0,14904707.0,15123929.0
Burundi,533532.0,561334.0,592471.0,627404.0,668121.0,711309.0,756430.0,805087.0,860600.0,928408.0,997841.0,1060717.0,1127351.0,1198645.0,1271783.0,1334327.0,1392343.0,1462049.0,1545523.0,1638048.0,1729543.0,1822687.0,5936662.0,6073031.0,6231661.0,6415750.0,6642535.0,6875990.0,7109117.0,7356787.0,7645037.0,8019238.0,8378603.0,8657261.0,8943677.0,9240696.0,9528002.0,9713253.0,9847108.0,10044713.0,10313923.0,10617288.0,10887493.0,11142794.0
