,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Latvia,1611520.0,1588107.0,1567452.0,1551233.0,1536660.0,1522383.0,1507751.0,1494021.0,1476965.0,1452351.0,1423002.0,1397904.0,1381242.0,1367090.0,1354815.0,1344323.0,1332897.0,1322185.0,1313215.0,1305648.0,1298292.0,1289387.0,756030.0,749063.0,742721.0,736722.0,726462.0,716416.0,710606.0,706304.0,700357.0,689318.0,674553.0,661805.0,653077.0,645557.0,638967.0,633204.0,626640.0,620063.0,613959.0,608174.0,602157.0,595103.0
Lebanon,3723232.0,3790844.0,3849326.0,3908500.0,3978100.0,4046436.0,4122181.0,4209587.0,4287127.0,4352625.0,4402758.0,4458202.0,4588395.0,5042162.0,5581987.0,5702634.0,5581112.0,5447340.0,5301511.0,5143166.0,5070857.0,5094446.0,606108.0,611074.0,614178.0,617008.0,621179.0,624666.0,628955.0,634531.0,638227.0,639662.0,638530.0,637818.0,647347.0,701274.0,765003.0,769835.0,741948.0,712788.0,682608.0,651428.0,631541.0,623676.0
Lesotho,391725.0,401511.0,410844.0,419582.0,427518.0,434540.0,443863.0,455190.0,467958.0,481216.0,495030.0,509746.0,522910.0,536768.0,551265.0,566309.0,581967.0,598167.0,614750.0,631558.0,648987.0,666703.0,1612188.0,1599342.0,1583835.0,1565477.0,1543611.0,1518536.0,1501200.0,1498078.0,1498583.0,1499667.0,1501221.0,1504263.0,1511444.0,1519736.0,1528824.0,1538302.0,1548455.0,1558943.0,1568853.0,1577847.0,1586740.0,1594839.0
Liberia,1298064.0,1347042.0,1393178.0,1415051.0,1442889.0,1520150.0,1619586.0,1714987.0,1799234.0,1870770.0,1940677.0,2034312.0,2124555.0,2189747.0,2254624.0,2321329.0,2389883.0,2458260.0,2529277.0,2603317.0,2682304.0,2764984.0,1630053.0,1668296.0,1701604.0,1704481.0,1714003.0,1780865.0,1871201.0,1954063.0,2021769.0,2072258.0,2118213.0,2186866.0,2248488.0,2280492.0,2309669.0,2338102.0,2365725.0,2390665.0,2415449.0,2440404.0,2467159.0,2494339.0
Libya,4052346.0,4133892.0,4221039.0,4313899.0,4412607.0,4515961.0,4619892.0,4727049.0,4840689.0,4955637.0,5071693.0,4965269.0,4851514.0,4965273.0,5078108.0,5177773.0,5275193.0,5378684.0,5486230.0,5588144.0,5685003.0,5779064.0,1252675.0,1269747.0,1287371.0,1305499.0,1324086.0,1342837.0,1360319.0,1377331.0,1394741.0,1411049.0,1426146.0,1377934.0,1327814.0,1339355.0,1349144.0,1354046.0,1356933.0,1360086.0,1362825.0,1362889.0,1360396.0,1356111.0
Liechtenstein,4939.0,4966.0,5022.0,5061.0,5096.0,5122.0,5145.0,5158.0,5170.0,5189.0,5210.0,5233.0,5267.0,5301.0,5331.0,5363.0,5395.0,5434.0,5484.0,5542.0,5608.0,5670.0,27706.0,28228.0,28672.0,29018.0,29351.0,29631.0,29892.0,30104.0,30303.0,30553.0,30812.0,31079.0,31390.0,31683.0,31917.0,32131.0,32321.0,32528.0,32762.0,33021.0,33293.0,33512.0
Lithuania,2344199.0,2322637.0,2300933.0,2279211.0,2250685.0,2213967.0,2181225.0,2157761.0,2137953.0,2114156.0,2067653.0,2020994.0,1998658.0,1983623.0,1971132.0,1957139.0,1938339.0,1919236.0,1908006.0,1907464.0,1912344.0,1916691.0,1155337.0,1148181.0,1142134.0,1136002.0,1126390.0,1108561.0,1088684.0,1073533.0,1060278.0,1048760.0,1029629.0,1007121.0,990481.0,977627.0,966121.0,953970.0,938986.0,923403.0,911194.0,903625.0,898025.0,891689.0
Luxembourg,367434.0,374603.0,380583.0,387241.0,394773.0,402818.0,411237.0,419557.0,429035.0,438935.0,448892.0,460842.0,473864.0,486709.0,500042.0,513663.0,526490.0,541038.0,553119.0,565584.0,576537.0,586759.0,68866.0,66922.0,65592.0,64389.0,63322.0,62340.0,61400.0,60436.0,59615.0,58848.0,58061.0,57505.0,57082.0,56651.0,56277.0,55941.0,55524.0,55298.0,54831.0,54417.0,53882.0,53305.0
Madagascar,4479396.0,4665492.0,4854832.0,5048553.0,5249110.0,5520678.0,5805820.0,6104312.0,6417342.0,6744514.0,7084915.0,7435505.0,7795864.0,8167745.0,8552120.0,8948419.0,9358399.0,9783650.0,10225638.0,10684205.0,11156963.0,11640983.0,12036942.0,12367447.0,12695081.0,13023301.0,13357498.0,13639029.0,13925089.0,14214271.0,14506498.0,14802766.0,15098425.0,15386795.0,15666574.0,15941545.0,16212228.0,16478283.0,16741553.0,17004725.0,17269288.0,17535349.0,17796593.0,18050100.0
Malawi,1653259.0,1703948.0,1756642.0,1812009.0,1870610.0,1932938.0,1998811.0,2068356.0,2142026.0,2221126.0,2304625.0,2392334.0,2483998.0,2580396.0,2681387.0,2787172.0,2898080.0,3015158.0,3138101.0,3267483.0,3404171.0,3547362.0,9662683.0,9889110.0,10123798.0,10369565.0,10630127.0,10907093.0,11199890.0,11507987.0,11834391.0,12174662.0,12521838.0,12872688.0,13225579.0,13581420.0,13940151.0,14298415.0,14659659.0,15024557.0,15389980.0,15758269.0,16129717.0,16499896.0
Malaysia,14234763.0,14803368.0,15390878.0,15987446.0,16592184.0,17205273.0,17827598.0,18456099.0,19085373.0,19708438.0,20320384.0,20882645.0,21438811.0,22006091.0,22585297.0,23178796.0,23791400.0,24411363.0,25024183.0,25617837.0,26149183.0,26636053.0,8733053.0,8723170.0,8711599.0,8692156.0,8664588.0,8630798.0,8590311.0,8542290.0,8484686.0,8416340.0,8335392.0,8279394.0,8224020.0,8168174.0,8110840.0,8054002.0,7998285.0,7944281.0,7886784.0,7822759.0,7740375.0,7646346.0
Maldives,78136.0,82758.0,87607.0,92659.0,97929.0,103420.0,109201.0,114217.0,119710.0,125452.0,131451.0,137695.0,144155.0,150766.0,157613.0,164963.0,172686.0,180473.0,188331.0,196253.0,204206.0,212150.0,203883.0,204009.0,204009.0,203832.0,203484.0,203009.0,204650.0,210262.0,216460.0,222823.0,229341.0,235979.0,242663.0,249304.0,256004.0,263191.0,270622.0,277814.0,284768.0,291478.0,297912.0,304004.0
Mali,3277752.0,3463460.0,3662576.0,3874873.0,4101054.0,4340490.0,4593242.0,4859547.0,5140077.0,5433310.0,5740112.0,6060445.0,6375675.0,6704143.0,7063224.0,7435535.0,7826783.0,8236665.0,8658426.0,9088067.0,9534328.0,10002568.0,8281538.0,8448698.0,8625474.0,8810082.0,9001355.0,9198157.0,9396897.0,9598228.0,9800705.0,10002229.0,10205086.0,10408604.0,10581358.0,10755472.0,10957043.0,11157487.0,11364506.0,11576346.0,11783604.0,11980338.0,12179508.0,12386062.0
Malta,360316.0,364105.0,367875.0,371319.0,374812.0,378170.0,380114.0,381739.0,384526.0,387733.0,389936.0,391879.0,395713.0,400507.0,408976.0,419406.0,429416.0,441630.0,457830.0,477094.0,488396.0,491258.0,29771.0,28923.0,28094.0,27263.0,26456.0,25664.0,25194.0,24985.0,24853.0,24744.0,24572.0,24389.0,24315.0,24303.0,24505.0,24814.0,25089.0,25476.0,26073.0,26818.0,27094.0,26892.0
Marshall Islands,34774.0,35327.0,35801.0,36214.0,36584.0,36925.0,37244.0,37531.0,37781.0,38022.0,38288.0,38431.0,38306.0,37983.0,37538.0,36996.0,36368.0,35657.0,34883.0,34069.0,33223.0,32333.0,15932.0,15796.0,15624.0,15425.0,15207.0,14981.0,14748.0,14504.0,14249.0,13997.0,13756.0,13476.0,13113.0,12698.0,12258.0,11804.0,11341.0,10872.0,10402.0,9938.0,9483.0,9034.0
Mauritania,995486.0,1034430.0,1081221.0,1130654.0,1182721.0,1237667.0,1295814.0,1357544.0,1425723.0,1500533.0,1579783.0,1663590.0,1751612.0,1841243.0,1932069.0,2026169.0,2123509.0,2224207.0,2328122.0,2435214.0,2545114.0,2657827.0,1617955.0,1644330.0,1657434.0,1671392.0,1685943.0,1701392.0,1717846.0,1735515.0,1757546.0,1783915.0,1811182.0,1839221.0,1867422.0,1893075.0,1916445.0,1939790.0,1963148.0,1986393.0,2009563.0,2032494.0,2055017.0,2077047.0
Mauritius,506439.0,509128.0,511325.0,513680.0,515544.0,517242.0,518278.0,519269.0,519756.0,519754.0,519604.0,519046.0,519081.0,518955.0,518495.0,517780.0,516999.0,516592.0,516267.0,516091.0,516027.0,516348.0,680434.0,687159.0,693296.0,699690.0,705459.0,711012.0,715718.0,720361.0,724365.0,727675.0,730796.0,733358.0,736801.0,739972.0,742713.0,745099.0,746748.0,748295.0,749310.0,749894.0,749987.0,749986.0
Mexico,73694985.0,75119369.0,76532120.0,77936200.0,79336408.0,80742642.0,82173469.0,83669238.0,85233233.0,86822184.0,88416434.0,90017853.0,91591316.0,93135209.0,94621181.0,95992178.0,97283958.0,98555924.0,99853304.0,101168773.0,102366144.0,103415424.0,24930567.0,24979730.0,25016504.0,25042315.0,25057723.0,25068862.0,25080197.0,25105122.0,25141055.0,25177537.0,25207461.0,25225651.0,25226892.0,25208364.0,25163080.0,25080128.0,24967393.0,24844133.0,24720407.0,24594209.0,24432910.0,24232724.0
Moldova,1304080.0,1289495.0,1274866.0,1259669.0,1245000.0,1235763.0,1231441.0,1227699.0,1224475.0,1222042.0,1219935.0,1218343.0,1217297.0,1216084.0,1214457.0,1205007.0,1191662.0,1172526.0,1154054.0,1138316.0,1129127.0,1116146.0,1620588.0,1628640.0,1636519.0,1643529.0,1651023.0,1653222.0,1649526.0,1646600.0,1644358.0,1643171.0,1642419.0,1642356.0,1643027.0,1643474.0,1643358.0,1630971.0,1611524.0,1582663.0,1553149.0,1525908.0,1506003.0,1479663.0
Monaco,32455.0,32447.0,32422.0,32374.0,32307.0,32210.0,32057.0,31837.0,31836.0,32364.0,33163.0,33946.0,34711.0,35447.0,36128.0,36757.0,37276.0,37678.0,38154.0,38109.0,38050.0,38527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,1364507.0,1407663.0,1452371.0,1497600.0,1541244.0,1585102.0,1631050.0,1679858.0,1733438.0,1791744.0,1850405.0,1893665.0,1931851.0,1974140.0,2019747.0,2065229.0,2109596.0,2152694.0,2195845.0,2239761.0,2284358.0,2327506.0,1023792.0,1010088.0,996656.0,982774.0,967168.0,951305.0,936118.0,921992.0,909763.0,899371.0,888217.0,892652.0,907854.0,924871.0,943366.0,961635.0,979260.0,996223.0,1012344.0,1027912.0,1042846.0,1056235.0
Montenegro,354162.0,361755.0,369361.0,376961.0,381058.0,383698.0,386254.0,388857.0,391621.0,394521.0,397301.0,399949.0,402704.0,405534.0,408371.0,411058.0,413615.0,416134.0,418542.0,420865.0,422873.0,423948.0,250788.0,245634.0,240467.0,235306.0,232295.0,230563.0,228771.0,227018.0,225348.0,223773.0,222127.0,220396.0,218714.0,217053.0,215373.0,213593.0,211738.0,209848.0,207896.0,205888.0,203717.0,201105.0
Morocco,15159639.0,15462514.0,15764077.0,16062305.0,16367527.0,16749802.0,17153701.0,17563283.0,17979825.0,18402323.0,18836713.0,19280523.0,19726957.0,20171180.0,20610432.0,21044528.0,21490393.0,21944152.0,22383005.0,22810693.0,23242679.0,23674863.0,13263796.0,13352129.0,13434065.0,13509110.0,13585491.0,13608342.0,13617477.0,13623185.0,13626942.0,13628455.0,13630303.0,13632065.0,13628284.0,13616391.0,13594348.0,13563060.0,13533064.0,13502240.0,13456755.0,13400205.0,13341529.0,13279579.0
Mozambique,5275366.0,5427291.0,5584558.0,5747348.0,5915985.0,6091168.0,6273959.0,6463777.0,6727245.0,7014886.0,7320657.0,7647153.0,7994009.0,8357217.0,8736620.0,9132365.0,9547757.0,9986395.0,10443230.0,10916166.0,11412744.0,11931011.0,12854287.0,13110438.0,13373780.0,13645127.0,13924328.0,14213401.0,14513128.0,14823858.0,15091791.0,15376859.0,15678578.0,16001886.0,16343837.0,16694394.0,17051855.0,17415207.0,17789348.0,18179998.0,18575414.0,18968214.0,19370944.0,19776789.0
Myanmar,12239850.0,12453411.0,12663586.0,12868478.0,13066291.0,13257125.0,13442914.0,13628531.0,13794763.0,13963119.0,14160693.0,14368813.0,14585427.0,14805871.0,15027104.0,15254170.0,15490935.0,15735583.0,15984330.0,16240713.0,16509875.0,16789176.0,33050991.0,33317728.0,33569067.0,33798714.0,34002481.0,34181240.0,34342221.0,34496512.0,34596030.0,34697340.0,34863689.0,35051007.0,35252019.0,35456787.0,35654530.0,35834886.0,36004761.0,36159355.0,36287917.0,36400000.0,36506647.0,36597926.0
Namibia,588751.0,610932.0,638167.0,665533.0,692663.0,720398.0,749149.0,779139.0,810573.0,843443.0,878019.0,915129.0,958910.0,1008132.0,1059561.0,1113547.0,1169871.0,1228483.0,1289488.0,1352865.0,1419857.0,1489731.0,1229896.0,1246116.0,1251803.0,1251931.0,1249419.0,1246184.0,1242739.0,1239461.0,1236483.0,1233951.0,1231792.0,1231196.0,1235744.0,1244376.0,1252578.0,1260753.0,1269342.0,1278370.0,1287839.0,1297629.0,1308905.0,1320817.0
Nauru,10168.0,10130.0,10082.0,10059.0,10060.0,10049.0,10034.0,10020.0,10009.0,10016.0,10043.0,10098.0,10267.0,10517.0,10742.0,10954.0,11150.0,11324.0,11477.0,11587.0,11643.0,11709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,3288496.0,3479323.0,3606847.0,3734632.0,3861132.0,3985620.0,4107546.0,4227492.0,4346745.0,4465617.0,4584699.0,4698626.0,4807045.0,4915158.0,5031390.0,5163231.0,5295324.0,5416257.0,5542931.0,5726286.0,5960162.0,6192110.0,21258013.0,21467425.0,21722134.0,21954126.0,22155524.0,22323838.0,22457879.0,22561000.0,22643292.0,22707418.0,22757253.0,22765868.0,22727870.0,22674838.0,22640980.0,22660398.0,22660138.0,22595001.0,22536758.0,22687778.0,23006412.0,23282900.0
Netherlands,12229998.0,12488742.0,12775902.0,13035570.0,13271929.0,13485107.0,13671225.0,13848922.0,14044865.0,14263741.0,14477657.0,14669707.0,14842886.0,14987369.0,15126226.0,15275237.0,15435425.0,15602670.0,15765213.0,15935776.0,16087342.0,16230689.0,3695515.0,3557438.0,3373027.0,3189732.0,3009850.0,2834761.0,2674876.0,2532774.0,2400728.0,2266647.0,2137737.0,2023367.0,1912076.0,1817063.0,1738782.0,1664686.0,1594889.0,1528626.0,1466411.0,1409098.0,1354158.0,1302355.0
New Caledonia,138140.0,141807.0,145454.0,149076.0,152558.0,156318.0,160009.0,163738.0,167446.0,171390.0,175527.0,180090.0,184776.0,189565.0,193851.0,196459.0,197889.0,199208.0,200415.0,201655.0,203237.0,205140.0,84958.0,85900.0,86782.0,87602.0,88294.0,88063.0,87538.0,86987.0,86379.0,85860.0,86055.0,86453.0,86857.0,87257.0,87373.0,86709.0,85534.0,84338.0,83126.0,81951.0,80939.0,80074.0
New Zealand,3318432.0,3341111.0,3402067.0,3472292.0,3526736.0,3569251.0,3615494.0,3646829.0,3675355.0,3709702.0,3748563.0,3774624.0,3798063.0,3830023.0,3896881.0,3979802.0,4072982.0,4162127.0,4240881.0,4312734.0,4413152.0,4436046.0,539268.0,539389.0,546433.0,554908.0,560764.0,564649.0,569106.0,576971.0,584445.0,592898.0,602137.0,609376.0,610037.0,612077.0,619619.0,629598.0,641118.0,651473.0,659719.0,666466.0,677048.0,675254.0
Nicaragua,2771740.0,2815348.0,2857376.0,2899015.0,2941336.0,2988106.0,3041712.0,3096487.0,3152169.0,3208481.0,3265584.0,3323435.0,3381969.0,3441010.0,3500366.0,3560205.0,3620556.0,3682300.0,3745455.0,3809797.0,3874295.0,3938803.0,2250893.0,2272477.0,2292533.0,2311948.0,2331576.0,2353999.0,2377143.0,2400756.0,2424424.0,2448120.0,2471866.0,2495616.0,2519318.0,2542835.0,2566126.0,2589212.0,2612110.0,2633931.0,2654625.0,2673860.0,2690972.0,2705938.0
Niger,1862949.0,1938297.0,2007353.0,2079638.0,2155300.0,2234281.0,2316932.0,2403218.0,2493085.0,2586861.0,2684387.0,2785306.0,2891697.0,3001705.0,3116628.0,3239570.0,3369709.0,3504695.0,3644390.0,3790281.0,3943290.0,4104353.0,9646681.0,9982350.0,10341791.0,10717346.0,11110536.0,11521911.0,11951649.0,12400392.0,12868830.0,13356814.0,13864448.0,14390977.0,14945072.0,15518193.0,16099281.0,16699928.0,17316044.0,17930751.0,18543679.0,19157476.0,19774323.0,20397787.0
Nigeria,44031661.0,46320689.0,48727954.0,51253420.0,53900718.0,56664041.0,59545960.0,62562163.0,65720273.0,69013626.0,72456327.0,76034272.0,79723735.0,83496382.0,87338089.0,91213613.0,95147856.0,99164065.0,103174367.0,107166569.0,111188136.0,115265457.0,82350833.0,83541906.0,84744035.0,85949224.0,87156327.0,88353212.0,89531374.0,90705098.0,91874741.0,93035838.0,94186559.0,95345326.0,96476890.0,97553061.0,98558826.0,99458265.0,100295844.0,101090514.0,101764388.0,102319072.0,102808045.0,103263829.0
North Macedonia,1186387.0,1187130.0,1174317.0,1171583.0,1163561.0,1153706.0,1144382.0,1135507.0,1127201.0,1118798.0,1111122.0,1106099.0,1102410.0,1099582.0,1098453.0,1097888.0,1097331.0,1096436.0,1094951.0,1092135.0,1085498.0,1079966.0,839963.0,847752.0,845840.0,851142.0,852625.0,851624.0,849905.0,847426.0,844292.0,839984.0,835176.0,831299.0,827411.0,823134.0,819104.0,814542.0,808982.0,802221.0,794100.0,784127.0,770626.0,757148.0
Northern Mariana Islands,61624.0,61345.0,60311.0,59139.0,57850.0,56467.0,55001.0,53469.0,51889.0,50275.0,49195.0,48798.0,48500.0,48110.0,47624.0,47062.0,46428.0,45727.0,44963.0,44138.0,43630.0,43169.0,6732.0,6639.0,6467.0,6282.0,6088.0,5887.0,5681.0,5472.0,5261.0,5050.0,4896.0,4810.0,4734.0,4648.0,4554.0,4452.0,4345.0,4232.0,4114.0,3991.0,3898.0,3810.0
Norway,3414033.0,3447513.0,3482266.0,3518773.0,3554092.0,3591141.0,3632998.0,3684159.0,3744286.0,3805760.0,3867496.0,3935476.0,4008535.0,4078226.0,4145335.0,4207493.0,4265348.0,4320306.0,4368945.0,4418218.0,4463566.0,4506374.0,1076934.0,1066238.0,1055893.0,1046082.0,1037818.0,1032150.0,1027679.0,1024994.0,1023926.0,1022966.0,1021756.0,1017612.0,1010038.0,1001397.0,991897.0,981114.0,969171.0,956662.0,942971.0,929678.0,915909.0,901946.0
Oman,1633298.0,1652937.0,1671733.0,1690327.0,1727311.0,1780897.0,1834970.0,1889772.0,1945733.0,2003400.0,2072524.0,2343970.0,2751277.0,3024267.0,3207755.0,3404412.0,3622474.0,3791448.0,3886999.0,3922894.0,3901830.0,3917349.0,648833.0,657280.0,665407.0,673469.0,677510.0,678905.0,679825.0,680402.0,680796.0,681259.0,684922.0,732793.0,795829.0,809646.0,794684.0,780483.0,768403.0,745948.0,710878.0,668347.0,620667.0,583075.0
Pakistan,51082234.0,52846087.0,54483687.0,56115621.0,57862124.0,59622511.0,61422731.0,63441687.0,65547743.0,67629427.0,69727689.0,71722690.0,73530776.0,75169776.0,76747454.0,78281214.0,79765118.0,81365499.0,83205748.0,85181688.0,87338399.0,89660489.0,103796893.0,106424820.0,108738862.0,110994627.0,113423876.0,115830701.0,118259959.0,121051544.0,123951370.0,126747107.0,129511358.0,132023375.0,134136349.0,135904202.0,137517193.0,139009669.0,140373751.0,141908468.0,143723144.0,145619211.0,147663347.0,149817312.0
Palau,13489.0,13564.0,13622.0,13683.0,13950.0,14102.0,14089.0,14024.0,13951.0,13865.0,13763.0,13651.0,13536.0,13565.0,13732.0,13889.0,14020.0,14136.0,14239.0,14322.0,14409.0,14490.0,5689.0,5788.0,5881.0,5976.0,5870.0,5717.0,5504.0,5278.0,5058.0,4844.0,4633.0,4427.0,4229.0,4083.0,3983.0,3881.0,3777.0,3676.0,3575.0,3476.0,3383.0,3293.0
Panama,1872389.0,1918369.0,1965040.0,2012481.0,2060810.0,2109801.0,2159205.0,2209206.0,2260018.0,2311537.0,2363628.0,2416919.0,2471372.0,2526706.0,2583226.0,2641185.0,2700575.0,2761094.0,2822016.0,2882094.0,2937192.0,2988552.0,1137980.0,1151168.0,1164304.0,1177326.0,1190345.0,1203225.0,1215819.0,1228284.0,1240630.0,1252844.0,1264907.0,1276586.0,1287884.0,1298623.0,1308875.0,1318850.0,1328511.0,1337613.0,1345844.0,1352606.0,1356069.0,1356853.0
Papua New Guinea,731114.0,755122.0,779836.0,805061.0,830682.0,856792.0,883344.0,910318.0,937741.0,965577.0,993808.0,1021715.0,1049126.0,1077524.0,1107025.0,1137671.0,1169504.0,1202595.0,1237163.0,1273194.0,1309911.0,1347335.0,4805950.0,4973313.0,5144167.0,5318936.0,5497359.0,5679113.0,5864376.0,6053027.0,6245261.0,6440861.0,6639715.0,6837631.0,7032264.0,7225174.0,7416416.0,7605575.0,7792214.0,7976119.0,8157350.0,8335816.0,8505835.0,8665561.0
Paraguay,2822361.0,2903342.0,2977912.0,3034843.0,3087694.0,3139902.0,3190784.0,3240344.0,3290228.0,3342456.0,3400379.0,3464587.0,3532721.0,3601252.0,3670658.0,3741655.0,3813592.0,3885599.0,3958303.0,4031453.0,4106403.0,4177346.0,2278507.0,2284347.0,2283416.0,2291593.0,2300481.0,2308195.0,2314364.0,2319042.0,2323346.0,2328780.0,2337592.0,2350039.0,2364287.0,2381193.0,2399153.0,2417448.0,2435534.0,2453061.0,2469079.0,2483605.0,2497336.0,2506836.0
Peru,19427953.0,19804960.0,20152348.0,20478238.0,20789989.0,21085439.0,21362614.0,21627126.0,21841405.0,22031218.0,22230444.0,22451912.0,22695863.0,22956518.0,23241286.0,23561086.0,23933571.0,24345508.0,24850451.0,25342581.0,25711622.0,26027367.0,7170378.0,7159641.0,7135869.0,7102252.0,7062201.0,7015741.0,6961877.0,6903573.0,6877636.0,6865593.0,6855575.0,6852174.0,6854503.0,6861401.0,6874540.0,6896514.0,6932923.0,6979129.0,7047133.0,7106722.0,7126957.0,7128515.0
Philippines,36735177.0,37485385.0,38182615.0,38874966.0,39564363.0,40232096.0,40838475.0,41475639.0,42136374.0,42823078.0,43671546.0,44724734.0,45792230.0,46856101.0,47829383.0,48743065.0,49605425.0,50472435.0,51346882.0,52243300.0,53135486.0,53931057.0,42890220.0,43916103.0,44886274.0,45856869.0,46830141.0,47783866.0,48670511.0,49599545.0,50562721.0,51561172.0,52665579.0,53523880.0,54383282.0,55220235.0,55937747.0,56569927.0,57130294.0,57647258.0,58118405.0,58561383.0,58945778.0,59169893.0
Poland,23611695.0,23622394.0,23621395.0,23563051.0,23506503.0,23453429.0,23396235.0,23340838.0,23300939.0,23274004.0,23165018.0,23134846.0,23086831.0,23025350.0,22960228.0,22897449.0,22849639.0,22824769.0,22806875.0,22793332.0,22525581.0,22216672.0,14646934.0,14625682.0,14608969.0,14641519.0,14675719.0,14712016.0,14745032.0,14779722.0,14824820.0,14877599.0,14877776.0,14928409.0,14976333.0,15014846.0,15051507.0,15088963.0,15120448.0,15150057.0,15167875.0,15172143.0,14990167.0,14764887.0
Portugal,5597602.0,5704057.0,5800192.0,5886957.0,5966051.0,6041725.0,6117343.0,6193886.0,6267228.0,6337144.0,6403809.0,6457743.0,6494283.0,6520333.0,6546012.0,6578828.0,6617169.0,6659350.0,6706183.0,6764658.0,6827994.0,6926780.0,4692296.0,4658665.0,4619439.0,4571864.0,4517810.0,4461605.0,4404945.0,4349078.0,4290949.0,4231103.0,4169291.0,4099817.0,4020561.0,3936962.0,3855050.0,3779248.0,3708283.0,3640950.0,3577639.0,3521605.0,3469087.0,3435051.0
Qatar,621195.0,654238.0,687678.0,721359.0,750828.0,803914.0,950174.0,1183420.0,1400383.0,1582131.0,1592596.0,1602047.0,1699995.0,1893141.0,2127387.0,2319822.0,2452713.0,2522348.0,2558411.0,2617231.0,2772773.0,2486825.0,23794.0,23687.0,23527.0,23323.0,22504.0,21494.0,22657.0,25175.0,26555.0,26772.0,24236.0,22714.0,22443.0,23285.0,24358.0,24735.0,24400.0,23472.0,22323.0,21426.0,21375.0,18085.0
Romania,11895672.0,11697189.0,11469356.0,11415407.0,11378651.0,11336529.0,11297334.0,11159030.0,11001524.0,10936933.0,10898688.0,10871606.0,10826124.0,10778604.0,10730940.0,10678041.0,10619522.0,10565369.0,10515554.0,10476962.0,10440610.0,10388823.0,10547299.0,10434781.0,10261140.0,10158919.0,10073097.0,9983156.0,9896426.0,9723952.0,9536351.0,9430554.0,9348183.0,9275922.0,9231911.0,9205089.0,9178039.0,9137575.0,9082745.0,9023346.0,8958416.0,8894686.0,8824640.0,8733236.0
Russian Federation,107528803.0,107067910.0,106569238.0,106133030.0,105771342.0,105433226.0,105152927.0,105037446.0,105055527.0,105149986.0,105261487.0,105450176.0,105800390.0,106219158.0,106663426.0,107106450.0,107549266.0,107941269.0,108224172.0,108489246.0,108576558.0,108464539.0,39068066.0,38908572.0,38737259.0,38515588.0,38295974.0,38085588.0,37896710.0,37767668.0,37686839.0,37635362.0,37587981.0,37568019.0,37578057.0,37586480.0,37573797.0,37534266.0,37466194.0,37351991.0,37173934.0,36964045.0,36668590.0,36282223.0
Rwanda,1226011.0,1311764.0,1409298.0,1451525.0,1490752.0,1531302.0,1573153.0,1615944.0,1659373.0,1703231.0,1747174.0,1790979.0,1834910.0,1879988.0,1928258.0,1979269.0,2032936.0,2089603.0,2149309.0,2211927.0,2277637.0,2346252.0,6987920.0,6975330.0,6990882.0,7135350.0,7326092.0,7523226.0,7726093.0,7933989.0,8144896.0,8357201.0,8570379.0,8782754.0,8994991.0,9213352.0,9436499.0,9660753.0,9886247.0,10112457.0,10338687.0,10564176.0,10788200.0,11009008.0
Samoa,39929.0,40421.0,40475.0,40235.0,39963.0,39673.0,39383.0,39166.0,39018.0,38877.0,38755.0,38664.0,38561.0,38434.0,38305.0,38165.0,38016.0,37903.0,37869.0,37878.0,37915.0,37929.0,141756.0,142745.0,143996.0,145195.0,146286.0,147305.0,148326.0,149587.0,151089.0,152636.0,154268.0,156049.0,157937.0,159834.0,161732.0,163617.0,165483.0,167512.0,169713.0,171902.0,174029.0,175850.0
San Marino,25041.0,25447.0,25821.0,26165.0,27735.0,28181.0,28595.0,29653.0,30162.0,31581.0,31853.0,31302.0,32187.0,31842.0,31531.0,31824.0,32078.0,32835.0,33564.0,33751.0,33900.0,33437.0,1758.0,1696.0,1670.0,1678.0,1722.0,1655.0,1589.0,1558.0,1500.0,1485.0,1417.0,1318.0,1282.0,1199.0,1124.0,1073.0,1023.0,990.0,958.0,912.0,870.0,815.0
Sao Tome and Principe,76940.0,79594.0,83289.0,87314.0,91425.0,95634.0,99959.0,104399.0,108933.0,113511.0,118084.0,122647.0,127227.0,131742.0,136188.0,140552.0,144807.0,148952.0,153022.0,157052.0,161672.0,166633.0,67078.0,66781.0,66633.0,66500.0,66280.0,66005.0,65679.0,65301.0,64860.0,64342.0,63718.0,63002.0,62212.0,61406.0,60579.0,59739.0,58882.0,58018.0,57165.0,56340.0,55763.0,55328.0
